행정구역(시군구)별,연령별,총인구수 (명),남자인구수 (명),여자인구수 (명)
전국,계,51632473,25742528,25889945
전국,0세,250187,128085,122102
전국,1세,272891,139700,133191
전국,2세,302478,155277,147201
전국,3세,330163,169408,160755
전국,4세,361017,185796,175221
전국,5세,408093,208690,199403
전국,6세,442185,226726,215459
전국,7세,441645,226241,215404
전국,8세,438621,224428,214193
전국,9세,489362,251050,238312
전국,10세,473995,243313,230682
전국,11세,478737,246373,232364
전국,12세,447205,230353,216852
전국,13세,466555,240153,226402
전국,14세,499406,256554,242852
전국,15세,452978,234114,218864
전국,16세,435422,225186,210236
전국,17세,469108,242848,226260
전국,18세,492285,255099,237186
전국,19세,490311,255073,235238
전국,20세,549728,285855,263873
전국,21세,632667,330001,302666
전국,22세,621530,323853,297677
전국,23세,635992,331978,304014
전국,24세,666761,344874,321887
전국,25세,679673,356368,323305
전국,26세,706680,372682,333998
전국,27세,709319,377175,332144
전국,28세,708835,376425,332410
전국,29세,721526,380241,341285
전국,30세,702703,367705,334998
전국,31세,645041,338435,306606
전국,32세,630059,330533,299526
전국,33세,623296,324205,299091
전국,34세,620022,318509,301513
전국,35세,624987,322105,302882
전국,36세,647682,333164,314518
전국,37세,656852,336782,320070
전국,38세,739426,377476,361950
전국,39세,814203,414702,399501
전국,40세,841563,428822,412741
전국,41세,830364,423440,406924
전국,42세,827736,419390,408346
전국,43세,732670,374777,357893
전국,44세,770589,388952,381637
전국,45세,754201,384957,369244
전국,46세,781986,395766,386220
전국,47세,851278,432565,418713
전국,48세,886478,445520,440958
전국,49세,889958,455211,434747
전국,50세,929744,473951,455793
전국,51세,920626,467537,453089
전국,52세,907196,457409,449787
전국,53세,921559,462064,459495
전국,54세,854298,422696,431602
전국,55세,814660,421929,392731
전국,56세,836411,419548,416863
전국,57세,823175,415731,407444
전국,58세,765825,388456,377369
전국,59세,861561,436711,424850
전국,60세,887595,441797,445798
전국,61세,915343,451181,464162
전국,62세,837813,412294,425519
전국,63세,761099,377637,383462
전국,64세,748457,370518,377939
전국,65세,680188,333763,346425
전국,66세,693046,333402,359644
전국,67세,608418,296320,312098
전국,68세,508628,243685,264943
전국,69세,555716,264905,290811
전국,70세,414601,197269,217332
전국,71세,425249,200670,224579
전국,72세,432258,202465,229793
전국,73세,421856,197072,224784
전국,74세,425445,194886,230559
전국,75세,348966,159499,189467
전국,76세,286565,128108,158457
전국,77세,308502,133216,175286
전국,78세,298978,125721,173257
전국,79세,362474,151349,211125
전국,80세,302635,122603,180032
전국,81세,250233,97729,152504
전국,82세,249291,94862,154429
전국,83세,219047,80393,138654
전국,84세,191935,68147,123788
